Bank,Capital_ID,Capital_Amount,Capital_Ratio,RWA,Rating
Deutsche Bank,CP000110,1406034.5947661088,14.190098605087103,5306819.930785817,BB
HSBC,CP000111,1726956.9675658946,11.583425433406259,52115441.07530362,A
Barclays,CP000112,5491342.923214087,15.985755435143759,1942793.9269509972,BB
Deutsche Bank,CP000113,313621.7270243491,15.814172147529238,3617548.944003672,AAA
Barclays,CP000114,2388137.3118853783,14.019147068159246,13983043.926248528,A
Deutsche Bank,CP000115,3023036.906852114,11.676611817155623,1495371.4997952888,BB
Barclays,CP000116,479496.6842639732,9.368539843849543,3628556.7404401554,AAA
Citigroup,CP000117,351809.9175521514,11.900108123958256,17685552.042520538,AA
Barclays,CP000118,3404057.4795640917,9.323285393796217,12275982.79812902,BBB
Citigroup,CP000119,949029.6946587291,15.190112696959304,13789948.08436626,A
Deutsche Bank,CP000120,4971607.759150087,10.840919091205802,51231415.13159746,AA
HSBC,CP000121,10833488.096105985,12.209948994113908,1446831.3737924641,B
HSBC,CP000122,624254.7229584354,15.829163495263536,4194313.396037285,AAA
Citigroup,CP000123,1014306.272032169,12.764808550972534,9398159.01720037,BBB
Citigroup,CP000124,8850161.402036173,12.493002997371214,11560784.757121164,B
Deutsche Bank,CP000125,928950.527294987,12.474878536086567,1712832.7558609366,AA
HSBC,CP000126,2483455.52803659,14.740653020683814,1227829.5899949824,A
Deutsche Bank,CP000127,289606.85653412493,10.791885743411385,14282279.938376423,AA
Barclays,CP000128,1844943.6251775837,9.684709195242249,375975.7138827323,BB
HSBC,CP000129,1156480.041519408,12.830161585658832,4335044.4734532265,B
HSBC,CP000130,1325074.396730059,10.966133599682493,8673566.77358354,AA
Citigroup,CP000131,682255.3722418639,9.761677269389057,1145572.4191406767,BBB
Deutsche Bank,CP000132,215297.87014134775,13.936678187599618,496069.57488514634,BBB
Deutsche Bank,CP000133,164622.42262970874,10.066564180042588,3447479.0374817043,AA
Deutsche Bank,CP000134,17425199.263953652,10.457246175877717,8023809.604338259,BBB
Barclays,CP000135,14655380.612174556,11.604519958771517,1407325.181208789,BBB
Barclays,CP000136,399186.15394198586,13.438566667284306,1566045.8345949093,A
Deutsche Bank,CP000137,952474.8177675913,14.354804956386044,1575538.998779957,AAA
Deutsche Bank,CP000138,161142.39073608787,12.927596561823025,4451226.950513188,A
Citigroup,CP000139,185245.29681629688,11.637434957496152,5554890.747155475,BBB
Barclays,CP000140,2249540.1619128934,11.975506770890718,20801092.92390397,BB
HSBC,CP000141,4270372.224723444,15.86485870236483,2443182.465747018,AAA
Barclays,CP000142,101892.99878499145,12.032704821020966,2218112.555080984,BB
Citigroup,CP000143,768335.0723929305,14.676356276970889,1269453.7936440185,BBB
Citigroup,CP000144,213409.26357282672,11.913524678899195,72805990.11818293,A
Citigroup,CP000145,3461842.831313408,14.982603776723646,6418724.993969852,BB
HSBC,CP000146,3852059.3812334263,9.811325586310039,19562329.099858053,AA
HSBC,CP000147,3477590.688405333,15.251589429328854,399817.6928508617,BB
Barclays,CP000148,541862.7757606946,10.28589646234271,5777383.827124174,AAA
Citigroup,CP000149,1052664.2475686902,14.74607930428316,5536500.032886866,A
Citigroup,CP000150,210844.78454119022,11.353529210136953,11553882.516039906,BB
Deutsche Bank,CP000151,508253.21510018816,12.392470450430862,4054162.5693078586,AA
Citigroup,CP000152,978538.80965239,10.030294289896785,10771712.913699042,AA
Citigroup,CP000153,3212996.206602863,11.949049634564597,142133175.82019624,BBB
Deutsche Bank,CP000154,188681.81602535662,10.692005056355082,1229199.442627476,AA
Deutsche Bank,CP000155,1190537.6313917744,11.394509626667418,3553055.8755178624,A
Citigroup,CP000156,5297690.458847881,15.746191948386258,177647.8971585958,A
Barclays,CP000157,1783764.711503796,11.826623989950017,6885836.803101118,AAA
Barclays,CP000158,594946.1063390473,10.307568671668482,27008744.694757175,BB
Barclays,CP000159,1259096.7466880954,13.902693959597453,12182243.046679212,BBB
Citigroup,CP000160,3838077.1754318867,12.961867038664323,921549.5810855955,BBB
Citigroup,CP000161,849790.67754968,11.485715697238096,1512959.7817974023,BBB
Barclays,CP000162,364895.1883576142,9.562659111865578,20086986.201350708,A
HSBC,CP000163,1379485.1793031348,13.407341919386408,131848.56552254493,A
Barclays,CP000164,18570309.74813751,11.123329766676518,5045020.467394718,BBB
Deutsche Bank,CP000165,524000.4314073643,10.032576765488878,7806767.314814973,B
Citigroup,CP000166,127624.05209280853,10.217977188961394,11962730.145902542,BB
Citigroup,CP000167,4796872.843491041,11.229185914957338,1115284.6970515214,AAA
Barclays,CP000168,563659.8531430329,12.32424928730989,2418109.4054810107,BB
Citigroup,CP000169,2126050.212441061,13.767854141652546,3841005.1149574285,BB
Deutsche Bank,CP000170,2172805.733875407,9.046663433137926,4826677.584266648,AA
Deutsche Bank,CP000171,5886682.73489803,15.749477787793012,1002266.5424629346,AAA
Barclays,CP000172,8360082.746661932,13.802900581995502,5191960.2700678455,AAA
Citigroup,CP000173,3578092.921412717,14.522771491878473,4393868.416393376,A
Citigroup,CP000174,3921585.8256433643,10.109637381406337,8752965.415085556,CCC
HSBC,CP000175,1186513.8173434613,9.736439358121473,5695992.130761657,A
Barclays,CP000176,286496.9697573857,12.074506799499275,12977479.88184212,BBB
Citigroup,CP000177,578376.4171915825,11.300542883840482,14377315.646679534,A
Deutsche Bank,CP000178,2933512.565110378,10.99153583798858,310652.09404273535,AA
Deutsche Bank,CP000179,3053935.0668199235,9.967337979993284,3955979.088110178,BBB
Citigroup,CP000180,606907.202029621,12.698392106403482,973358.3638636887,BBB
HSBC,CP000181,487588.2322791835,9.62684861896046,4337000.3332659695,BBB
Citigroup,CP000182,1402911.3613936887,15.050210578967253,3700663.7192886174,AA
Deutsche Bank,CP000183,382237.22673168423,14.993496088090938,9489684.67402415,AAA
HSBC,CP000184,257865.4505983515,12.714956478236331,1719318.2477079933,AAA
Citigroup,CP000185,894293.9717705005,13.58185433854554,6950296.808453596,AA
Deutsche Bank,CP000186,1153040.995255177,12.675116143749841,2639795.528433293,AA
Deutsche Bank,CP000187,1115162.1025276126,10.848674270250443,1017963.3776582995,A
HSBC,CP000188,341515.3345193488,12.156212400950896,5130490.212797422,A
HSBC,CP000189,2720443.232361959,10.810836513601457,998406.144397397,A
HSBC,CP000190,4100975.2932648775,10.471303846044966,1205335.1365705833,BBB
Citigroup,CP000191,657141.272143316,12.860230408801343,683532.895153554,AA
HSBC,CP000192,1360115.0366735465,10.338082530791763,15917192.918231478,A
Barclays,CP000193,2313247.5618701517,9.26086431661894,4356383.224019733,A
Deutsche Bank,CP000194,861302.2833080982,11.995470578485083,3443473.5299351863,BB
Barclays,CP000195,1771019.9971001346,13.210794065379886,2351765.9892645953,BB
Deutsche Bank,CP000196,4587714.824372174,14.645256745620879,14617098.78979133,AA
Deutsche Bank,CP000197,497457.6142531214,12.675377274152536,14768085.06113201,AAA
Citigroup,CP000198,209821.15708938107,15.712189874124654,3421985.4264281285,A
HSBC,CP000199,207476.29996482545,15.049522207514958,14514722.028409673,A
Barclays,CP000200,1282965.5123665014,11.32705836192559,5155726.2578120995,CCC
HSBC,CP000201,195341.55233468633,12.279913306129831,1688087.4097918926,A
Deutsche Bank,CP000202,581496.72975194,13.984316864802414,26902974.168875918,AAA
Deutsche Bank,CP000203,3709779.251663655,15.690560550213096,2045853.1574444699,AAA
Deutsche Bank,CP000204,4546373.732221847,12.739627187243615,1712837.6593117553,BB
Citigroup,CP000205,4738045.721072737,10.414331988375917,6264732.854525319,A
HSBC,CP000206,759713.2653626899,13.745553055872467,4819137.563052979,BB
Citigroup,CP000207,1013287.9731719026,10.09114191041931,963936.1177244856,BBB
Barclays,CP000208,251211.89277111736,13.539580732696582,5362272.660241356,AAA
Deutsche Bank,CP000209,1218265.874974234,10.836476767861381,9437546.689050252,AA
Barclays,CP000210,2978737.075571968,11.938777980991599,956429.2502693695,BBB
Barclays,CP000211,1516964.1356777311,9.490822721231607,1900807.6426009361,AAA
Citigroup,CP000212,280493.36417393404,15.626183186339576,4426843.6868927255,AA
Barclays,CP000213,2034380.6814419997,15.226765432599864,78841870.3536207,BBB
Deutsche Bank,CP000214,2550437.363830619,13.478177311029313,11063046.866148736,CCC
Citigroup,CP000215,370288.309192065,10.766979380798977,22707512.50864311,AA
Barclays,CP000216,1087768.827230416,9.991896497552794,4002421.769059249,AAA
Deutsche Bank,CP000217,4390202.503144773,9.763731898176117,2469576.309041438,BBB
HSBC,CP000218,1376956.3322007682,15.174365137738867,3537586.847985348,AA
Barclays,CP000219,791724.9732853598,9.599596196998986,1502700.8726852376,AAA
Barclays,CP000220,885695.532062184,13.857723581447011,3874080.4187152553,BB
Deutsche Bank,CP000221,9450174.700294286,10.59543892855344,2558833.9371608347,BB
Deutsche Bank,CP000222,501685.5516211424,12.051581903121843,4022930.9512008494,AA
Barclays,CP000223,371678.9539853202,14.353551445467854,6810255.410811081,BB
Deutsche Bank,CP000224,784377.323360695,11.681264438708062,286117.00010735786,AAA
Deutsche Bank,CP000225,2249741.010783623,12.87645595319928,18416888.983788885,AA
Citigroup,CP000226,213204.03944534654,9.131205045737582,6258485.780877645,A
Deutsche Bank,CP000227,1270513.702343538,15.423070384327868,166330.29137315883,BB
Barclays,CP000228,8869307.795553422,14.96651141990794,798883.3658264587,BBB
HSBC,CP000229,394681.37699423963,9.358852632361003,3886068.2331774263,BBB
Deutsche Bank,CP000230,3313304.6553650624,13.287791534666411,6494966.393260481,AA
Citigroup,CP000231,4661952.918174916,15.828344773355102,7259254.95940539,AA
HSBC,CP000232,376966.83389035694,15.225637943758286,437679.2692020972,BBB
HSBC,CP000233,4613114.483919017,14.436665796710443,20278443.58753663,AA
Barclays,CP000234,828504.240808915,11.923179900332602,1113534.145160338,AA
HSBC,CP000235,2732134.193112383,12.07124218921799,1309926.0729519823,BB
Deutsche Bank,CP000236,8844422.149683828,10.039256439791018,6425771.09824175,BBB
Citigroup,CP000237,1179902.477074237,14.438455778808361,27548567.239893064,AA
HSBC,CP000238,2056543.073288708,15.790814381510735,1702546.5921565483,A
HSBC,CP000239,4018850.936279672,14.508049613205868,14857041.15964448,A
Barclays,CP000240,383361.76885489764,9.308303598058703,5597590.7473379765,AA
HSBC,CP000241,728823.3794504965,14.113760092324524,2948383.133934895,BBB
Deutsche Bank,CP000242,1300472.0867177297,15.415205863779352,2309565.702087591,A
Deutsche Bank,CP000243,398756.91468733654,10.425304905236304,1885566.8649975713,A
Citigroup,CP000244,128191.21945736569,10.624505593752637,28020198.72883817,A
HSBC,CP000245,432051.3642689699,14.143799000578646,362407.9728439114,AA
Citigroup,CP000246,3965433.0475491895,12.867347137686782,3162250.803772793,AAA
HSBC,CP000247,421314.5151994597,9.947068280970832,2531296.3941047485,A
Deutsche Bank,CP000248,1244873.4500772653,9.704004493613704,4512743.951731778,A
Barclays,CP000249,1794270.8658624412,15.368499411358062,1143490.6948821477,BBB
HSBC,CP000250,698536.0386693723,11.879120534951781,770903.2746162735,A
HSBC,CP000251,2730211.6373798605,12.232687338977803,4230136.983260536,AAA
HSBC,CP000252,5678707.180250594,11.508525464270209,704745.3482002979,AAA
Citigroup,CP000253,52597.25676948605,15.041032133653644,7039690.815289171,A
Citigroup,CP000254,1335373.0831559277,12.860021116586005,7817947.064110368,A
HSBC,CP000255,2249981.850490465,9.125937951809957,2099791.845918947,AA
Barclays,CP000256,3069400.1553357826,12.274460857616663,7024678.721321091,BB
Deutsche Bank,CP000257,3941194.075943618,9.79687649264456,2317478.602883059,BB
Deutsche Bank,CP000258,289029.81619206315,15.126619417527213,20243444.448228262,AA
Citigroup,CP000259,1440745.6119211032,15.56947265968335,2872126.618221249,AA
Barclays,CP000260,2651399.2366705337,9.711268751245537,970177.4364538961,BB
HSBC,CP000261,1523962.5486870552,12.582329639813613,774018.8192808942,BBB
Deutsche Bank,CP000262,2247563.4992547203,14.827226714419087,276442.0877180172,BB
Deutsche Bank,CP000263,5071979.9442320615,15.0402157746087,18594246.460861735,A
Barclays,CP000264,904498.0790772049,11.15542310525881,2049607.1726977644,BBB
Deutsche Bank,CP000265,2699596.6205061544,11.716535837744093,214916.10796932311,BBB
Deutsche Bank,CP000266,1064625.7229767144,9.695545171884481,188507.19525610164,AA
HSBC,CP000267,776772.4496647931,11.993909146472738,70207197.3653711,B
Deutsche Bank,CP000268,824781.1565540088,13.222986179285435,3070855.249016135,BB
Deutsche Bank,CP000269,12095158.889374891,11.29517592855836,779812.3950834787,B
HSBC,CP000270,2160005.6770810685,12.90306365213426,9900210.155596007,AA
Citigroup,CP000271,628251.8898729302,12.274704547440262,1471672.2121987096,B
Deutsche Bank,CP000272,661073.7553590954,9.088830739103454,5841433.074112026,A
Deutsche Bank,CP000273,173363.780457739,14.783579023821892,34973918.830879584,BBB
Deutsche Bank,CP000274,2033033.5983137595,12.754391471032504,2534117.608980461,AA
Deutsche Bank,CP000275,1654737.866905644,10.85159206459221,5913317.3390420955,AA
Deutsche Bank,CP000276,5675214.482264649,10.160563555263874,4602990.152383299,BBB
Citigroup,CP000277,615454.9997215768,12.490489344026017,8278983.382780081,A
Citigroup,CP000278,179574.75183223863,15.943094973425678,13157121.630807325,BBB
Deutsche Bank,CP000279,974380.268344139,13.3270831291866,5866289.868276976,BBB
Barclays,CP000280,3856433.343441053,10.64577829458752,743750.918967521,CCC
Citigroup,CP000281,201089.74184363123,14.007276061607794,3758097.6006599837,AAA
HSBC,CP000282,276207.4148372159,11.715516496527687,1180492.0434825006,AA
Barclays,CP000283,503621.4844371859,15.696820141431566,2315527.1829981995,BBB
Barclays,CP000284,322214.04917991714,11.654190367373314,3099494.3154916978,A
Citigroup,CP000285,516321.33894592064,15.66400991745095,5419595.650046913,AAA
Barclays,CP000286,420486.4200644823,11.751393818972783,21010506.76778185,BB
HSBC,CP000287,1168347.0640910892,11.88857430156008,1174270.407552585,A
HSBC,CP000288,2020926.0826707603,14.309775205620008,1140675.5550780264,AAA
Barclays,CP000289,352925.2833527232,15.936599067247261,3046973.6643572766,BBB
HSBC,CP000290,5559617.404518157,9.649584599205177,2971134.304089907,BBB
Barclays,CP000291,3379800.0347390245,9.870133124930403,1063635.731646764,AA
Citigroup,CP000292,776700.2697395968,14.914701797284653,1307669.6133083892,BBB
Citigroup,CP000293,344995.7326705753,14.050281267741,1106782.4940384016,AA
Deutsche Bank,CP000294,898715.3155414886,15.493363004391906,1517391.4064127633,AA
Barclays,CP000295,2805075.595123693,10.782480381438258,12056489.205232661,BBB
Deutsche Bank,CP000296,1783791.7620395985,14.55459118713842,19379943.413735732,AAA
Barclays,CP000297,1768030.4113129154,15.80079315922224,1580181.3577602613,BBB
Deutsche Bank,CP000298,454162.89591266634,15.199508842206294,1907655.916893408,BBB
Deutsche Bank,CP000299,1137669.3381545444,9.743367119490822,4824167.071468808,AAA
Deutsche Bank,CP000300,12301220.683043035,11.88091180630657,10703863.43151598,A
HSBC,CP000301,220851.477290437,13.477324629527745,164333.5480068741,BBB
Barclays,CP000302,298130.1518038607,12.9348394240013,8174787.900397945,AAA
Citigroup,CP000303,914103.8179816038,9.747815863740389,3592627.5844742795,AA
Barclays,CP000304,2776796.2060271366,10.244693010516887,4377711.615190542,AA
Citigroup,CP000305,1788701.8255790481,13.524288509288326,3442875.6431434406,A
Deutsche Bank,CP000306,4565604.237533088,15.35870204193565,477230.28348058055,BBB
HSBC,CP000307,1711490.9746206459,11.501056970000928,663729.4176393813,BB
Barclays,CP000308,6578945.907282468,15.942457279942111,21223624.36075493,AAA
HSBC,CP000309,3055831.4108967427,10.581613863929935,16074442.684794376,AAA
Citigroup,CP000310,312212.8077586511,13.05759539074758,384893.26194067684,AAA
Deutsche Bank,CP000311,2604473.272951132,9.08059770090425,520059.61928929173,AA
Deutsche Bank,CP000312,773986.5954982907,15.441779838222999,1602645.2364355656,A
Deutsche Bank,CP000313,403161.97675279476,11.869254565926695,1199108.586318816,AA
Barclays,CP000314,1252508.5886492194,14.981601455007901,1551922.2018832506,BBB
Barclays,CP000315,651869.1752003897,11.177307006134782,1569413.2301427259,AA
Deutsche Bank,CP000316,2429457.4164667334,10.409881696317381,1340696.2125070463,BBB
HSBC,CP000317,2700052.7335958583,12.368810900390534,55214979.83295392,A
Barclays,CP000318,929881.632876774,14.943079085704465,1262954.6310910138,BB
Citigroup,CP000319,1453910.1268208434,15.483320050581934,1453322.1277629556,AAA
Citigroup,CP000320,652078.6120098883,14.09716316427127,44514997.10398779,BB
Deutsche Bank,CP000321,3888646.9127798597,11.819521279857014,22270724.2236733,AA
Barclays,CP000322,892520.9025862159,10.149941875381366,8508534.55527702,AAA
Citigroup,CP000323,339129.66994582186,9.522268737954661,468950.8797673299,BBB
Citigroup,CP000324,3212828.2339484105,11.829284922577315,1628303.4069263986,BB
Barclays,CP000325,1158116.5295141777,14.760419685578881,12482880.838167371,AAA
Deutsche Bank,CP000326,3509342.7839879277,15.103641451499339,3277209.2329234504,BB
Deutsche Bank,CP000327,13967137.125005279,13.477103983671594,834919.089845141,BBB
Barclays,CP000328,3170600.6513079577,13.750819085002357,794426.1702405451,A
Barclays,CP000329,314460.6179449878,12.782440206924196,1423069.260524144,A
Citigroup,CP000330,144982.474305801,12.189264958024111,485137.44212415616,A
Deutsche Bank,CP000331,510524.96187345055,10.685230368643746,496466.069323372,BBB
Citigroup,CP000332,609888.1586059864,14.276898457340437,2854500.8879688596,AAA
Citigroup,CP000333,757677.6392969697,10.970472619953552,2798227.102454579,AA
Deutsche Bank,CP000334,1661404.6728137084,11.326762600407179,2750640.8263719706,AA
Citigroup,CP000335,6780546.583433651,9.068544732142678,7086951.743435227,AAA
Citigroup,CP000336,118387.14321160056,13.041490536549496,7451045.829884432,A
HSBC,CP000337,364414.6346178839,15.773530396577222,470989.7386427821,AAA
Deutsche Bank,CP000338,901709.3144919364,12.743651827127781,34414017.52758288,A
Deutsche Bank,CP000339,164823.5482043823,15.710975619176093,4454246.682391678,AA
Barclays,CP000340,826220.6096640346,15.359362117228347,1779293.5053448956,BB
HSBC,CP000341,5984169.8396647675,11.939309702412475,205935.251843904,AAA
HSBC,CP000342,140818.1260471669,12.79987473736584,126526.05200783248,BBB
Deutsche Bank,CP000343,295699.4956236501,12.341486381718752,27973723.24885727,A
Citigroup,CP000344,432941.62762177613,10.97231991178085,1253404.3033564745,CCC
Barclays,CP000345,2339959.304204084,13.12121295230518,1073388.8674423564,BB
HSBC,CP000346,184388.3356288586,15.500832413275548,3953373.350854181,AA
Barclays,CP000347,376622.03754441324,14.760172898133618,1859905.871205404,CCC
HSBC,CP000348,811506.365650746,10.015393381132686,1056681.475663706,BB
Deutsche Bank,CP000349,2088727.53405041,11.629737243666064,1677630.7603827177,BBB
Deutsche Bank,CP000350,775545.3609794282,9.84166543494956,2675389.0127512175,AAA
Citigroup,CP000351,2508627.9931501863,9.3177962946346,11181626.772970874,BBB
Citigroup,CP000352,1935376.43653773,15.64851898761169,7718366.465757385,AA
HSBC,CP000353,161045.79573677777,9.102840420801305,5383067.475530784,BB
Citigroup,CP000354,66785.07111248349,9.99246049687932,17684297.678082038,BBB
Barclays,CP000355,1533891.0813317767,10.110534183990186,537231.3112561755,D
