Loan_ID,Principal_Amount,Days_Past_Due,Loan_Status,Credit_Score,Collateral_Value,Commitment_Amount,Provision_Amount
L000022,299223.20204986597,0,Active,337,93450.95882957822,357603.4211119902,64360.94325146351
L000023,372698.2248607548,0,Active,602,344587.06591049174,266945.8399184816,9285.367568468993
L000024,461509.2843748656,0,Active,637,278646.33263742214,94669.83223836117,73640.2109304659
L000025,787324.2017790835,0,Active,629,582866.1709815287,325044.0630443423,31955.05755094028
L000026,207677.04433677613,0,Active,498,54378.80385872296,320702.24940037983,33014.80649474417
L000027,519092.09402947547,0,Active,304,754408.1032631195,477361.0302178703,22581.25199206189
L000028,596490.423173422,0,Active,731,765734.5322659917,132132.15601051392,64797.231467448946
L000029,55985.90859279775,0,Active,670,70675.80863484518,274184.1332544727,95581.38190209174
L000030,611469.403382424,30,Active,402,347170.9241685631,160513.32135256453,81863.82133494594
L000031,178818.8824504186,0,Active,734,719316.6762214492,149090.2337070548,92410.13238678232
L000032,74401.07705542672,30,Active,680,149825.04659921344,252820.67779606982,93074.83840451695
L000033,949396.6818807999,0,Active,365,553771.119243717,357429.80058421515,154.57948109478536
L000034,965975.7127438138,0,Active,569,568971.3242720241,302406.8466970548,62432.585326229615
L000035,810313.3746352965,30,Active,346,186877.67587421983,58667.69130831745,93008.8253869884
L000036,311567.63148163696,0,Active,664,4933.07128618845,461188.4344562656,55141.00594438587
L000037,106695.39286632003,0,Active,479,531575.1436330472,354372.0246758605,68018.55575744952
L000038,687390.6962470353,60,Active,367,493805.2358498123,289663.299794914,43673.29831848006
L000039,445750.9688022053,0,Active,414,519767.25147906865,72117.38040422444,85185.26359003593
L000040,130817.85249633103,0,Active,325,125154.83171151897,67444.31664529204,16332.338091079124
L000041,500225.1410101575,30,Active,506,482987.40423465037,146730.1371740225,9211.893649061398
L000042,44044.635904066214,30,Active,372,433339.6748445538,461547.53224241454,37262.98286283508
L000043,910227.1980579942,0,Active,558,362044.17493636126,73486.81391254347,7888.503159545879
L000044,266192.1817840168,0,Active,685,621538.199762196,327333.37909053836,14158.90818036768
L000045,665897.0615104422,60,Active,329,310638.49711872573,322438.0420842735,15749.080398647964
L000046,318593.96532851685,0,Active,720,282613.7405459122,45973.2163304834,495.0534916140836
L000047,524867.3409660327,0,Active,302,432804.4553939785,353668.0100179321,81409.95543962487
L000048,551243.1765498469,0,Active,820,755353.8190617003,238108.21948636373,89249.14666016273
L000049,193005.91097027177,90,Active,819,275405.89820063213,250377.97410292618,4008.1000874039764
L000050,969888.781486913,0,Active,820,356264.01616574934,2745.4205375160855,23303.182211788197
L000051,777381.4951275034,30,Active,700,213058.32949608323,448399.0337142744,34108.763055473646
L000052,940103.9521485473,0,Active,573,543689.9616294827,305185.00889560254,79823.81339475326
L000053,895879.0769233723,0,Active,771,291268.15037462255,302263.99519077427,23326.082756992517
L000054,601920.9790229743,30,Active,671,554157.3999943866,194558.41163773768,39923.51377068877
L000055,922655.4926728857,120,Delinquent,730,116568.16425713031,350882.40982895455,97375.78162342221
L000056,97607.5770314003,0,Active,838,211011.48160814276,416513.76988414733,82774.99519707788
L000057,204023.03379495375,0,Active,647,165045.44700915425,247503.03084091702,9966.362251737282
L000058,54775.01602143268,90,Active,370,621922.132049671,272541.5878819359,31954.059041196535
L000059,332077.0274556317,0,Active,781,71654.210880833,104177.00363087624,57695.62917712453
L000060,394790.5167925872,0,Active,555,201556.77298267154,176601.54908724534,68288.57259254964
L000061,278635.54145615693,0,Active,402,405912.22495330055,234080.41589473432,64464.32945814706
L000062,830450.1340604101,30,Active,446,70259.99162099196,330637.3833358062,8439.89368718968
L000063,363185.79342665337,30,Active,439,8844.183531660832,465871.61685036786,99321.1384533322
L000064,288125.16459050693,90,Active,722,552913.937316165,68539.77148933543,18295.398298342992
L000065,547269.122326666,0,Active,363,490863.2791192721,264516.7337645596,17578.056677546607
L000066,149514.98272501503,0,Active,570,6731.9169565860375,305481.3194988099,24188.955261788193
L000067,804175.0109464993,0,Active,812,38828.484536348195,412748.8679889052,41071.52944291638
L000068,83805.13724297311,0,Active,306,175496.6190100572,421788.5931103866,32085.958336171207
L000069,987018.0672345121,0,Active,692,724943.1185203242,330343.95109906374,51202.485006821684
L000070,774522.3216036909,0,Active,300,522181.55878456257,97313.89410183983,91073.10831657823
L000071,206728.52471883068,0,Active,560,644000.2061402666,389905.9054311073,4047.8723679241325
L000072,15466.895952366376,0,Active,346,607582.5213762422,289274.94104912237,38693.048799408825
L000073,817306.8141702858,0,Active,301,786420.0388605335,480666.9503445446,98583.77599122586
L000074,709788.770409141,30,Active,834,760125.697679931,476608.17074864515,24796.445336694884
L000075,731717.0963605774,0,Active,658,53844.993577051704,275831.67074950616,81851.32381403117
L000076,773557.6432190862,0,Active,776,18150.664951243467,471680.39141737355,39198.86613851282
L000077,83304.20521674945,0,Active,721,397654.90916379367,12867.210698501996,91025.23793655267
L000078,364881.0712588299,30,Active,503,217380.31167100644,457752.3046945635,63695.52514118376
L000079,124710.36892987842,0,Active,526,403653.1811968844,482278.7842063642,89327.5559160308
L000080,864472.3916168376,0,Active,450,72538.63880182667,489537.87405727943,63470.16073694138
L000081,627065.1455592824,0,Active,546,727090.0277095386,388998.7931349536,89027.76428886472
L000082,337589.0446041227,0,Active,316,619279.841260215,90330.35090646058,90410.42132676824
L000083,72922.76678316339,30,Active,603,441693.2159983638,487328.86764999526,29958.196777530342
L000084,317872.49849850556,0,Active,813,372056.786449271,213977.61289292594,83880.91404916185
L000085,331931.48880647955,0,Active,496,374795.26306750264,235616.15241269156,84004.29099214946
L000086,732310.1165546834,0,Active,745,493174.31099286326,7563.006340297052,70507.18496789412
L000087,641181.896641661,0,Active,640,436272.83763046074,171663.96422967073,24114.619542402383
L000088,888340.6151505633,0,Active,360,385790.3754284397,128572.50973367796,10785.043989786369
L000089,477492.77591032983,0,Active,566,543405.4177731249,224907.25321099232,61802.820722067685
L000090,128398.30347891868,30,Active,396,611984.7450748112,134592.43540469217,65391.97166678081
L000091,716112.3393507651,30,Active,582,514362.99839330476,223640.79241129837,97022.16541529712
L000092,763177.1981307284,30,Active,546,313109.8709686034,73782.98145370127,39815.900680827974
L000093,565664.4255938013,0,Active,334,331459.179212479,476013.5142938689,72272.2150890528
L000094,773257.5081550154,0,Active,768,78825.41426510752,332064.9620576646,87915.63054162066
L000095,498857.64040074684,0,Active,367,331636.326788895,494226.66734872706,79882.01566321342
L000096,527505.5010881741,0,Active,488,628633.8359797606,2408.8413062738346,40427.89591420123
L000097,433265.60817496415,0,Active,340,53176.41348260605,417906.03032284306,23946.513706242422
L000098,35164.93547665424,90,Active,366,140415.4906982856,42135.46789498512,3198.8857282808203
L000099,116812.5127233714,0,Active,607,674093.2736196737,386921.85315472574,75808.77665656577
L000100,41114.89382986691,90,Active,418,454357.9872019956,461235.6702666375,38478.40117576575
L000101,640046.3071511426,0,Active,485,536959.1666118907,70339.62590077375,50185.89689911602
L000102,321212.4212655634,0,Active,369,257247.22949180717,478072.9659352514,98228.7593208664
L000103,513484.98425305577,0,Active,583,391039.349963207,218131.06882528693,478.18730484479045
L000104,908490.809186832,0,Active,847,609261.0620457148,172103.87506916092,27551.298489560628
L000105,256799.3068573862,0,Active,647,700834.7070254241,397882.9555438011,98109.98747335639
L000106,416279.0938052734,60,Active,494,779365.2140722885,426539.3642784,48796.19003802101
L000107,757995.6271576182,30,Active,783,680820.4333427816,418259.7804440371,93765.96823781873
L000108,236510.18383670624,0,Active,579,53986.54630518154,312011.11720988934,85140.23494755267
L000109,86210.11073050507,0,Active,647,274685.455308115,148099.9336166327,71165.2161369936
L000110,296853.93838463037,90,Active,777,599111.6878304972,138272.69456417163,71374.73401566008
L000111,169609.07438146436,30,Active,397,334362.58578012185,114327.72466930702,463.6755389939018
L000112,930400.6758191474,0,Active,581,349096.7188028688,73236.64466428792,29719.9231819244
L000113,810039.1757687728,30,Active,718,635450.9238046051,196287.29011757977,44086.32615329291
L000114,637069.7189453192,0,Active,522,666735.1002611022,428024.12014999706,51980.476601403534
L000115,872745.9842858405,0,Active,551,633126.6577720409,498086.1637160762,44384.7618847529
L000116,805635.3561301234,0,Active,379,283699.6815475459,346797.3402481542,43648.47030115548
L000117,194704.3582971755,0,Active,712,182410.88462460134,78075.81739609908,86261.30762728809
L000118,893633.4085050779,0,Active,692,286994.15189018316,336781.5258290206,96960.3176780417
L000119,543948.8194964943,0,Active,633,561106.8264380257,137679.20795067918,84703.42629659164
L000120,809365.7536124219,0,Active,627,291771.67237171903,358817.198212125,69115.31859402519
L000121,897130.3869242583,120,Delinquent,301,44305.8604904901,118142.93027729489,73629.17023080368
L000122,324823.44022214523,120,Delinquent,502,640605.5545225041,82032.49859121142,73733.01073139964
L000123,118951.4052824,0,Active,557,50741.76705621181,317237.038350599,79970.40626181569
L000124,235655.81091652226,0,Active,666,796906.8779030349,342575.6181549405,5591.50670229015
L000125,432836.7107399937,0,Active,445,689253.7290479585,92386.02153892789,7478.39327963844
L000126,819834.6182632681,0,Active,677,765069.8794522557,256004.0103913581,9737.597310298806
L000127,862123.2774237801,0,Active,740,666605.0089943416,440324.6033800507,91118.35189123487
L000128,16882.609225878798,0,Active,754,80855.51786344576,342408.3498344699,62179.52097961959
L000129,515639.8295517901,0,Active,706,335004.12437262223,337940.1248682663,45532.16917229012
L000130,423236.8931172912,0,Active,318,726347.8743996716,361776.9397107633,77023.44483942748
L000131,229886.73236602294,0,Active,732,72703.51530604807,175010.95912519045,22010.83461811134
L000132,128666.71366034598,30,Active,728,244196.57973624062,102972.89550250665,80501.42503871144
L000133,344239.01968959166,0,Active,551,373678.93570109433,366750.8707223991,34585.76418891974
L000134,943480.606873394,0,Active,520,359931.56249579205,405970.4413405979,63447.23662211942
L000135,329970.90270054765,0,Active,412,755121.0764863173,447903.1370778182,98745.4509209339
L000136,523602.71552593244,0,Active,448,316094.8705713036,397619.49014782626,7187.829278997348
L000137,705988.769306226,0,Active,357,191168.99158306015,173044.5627379988,95749.04822602442
L000138,369993.30635550106,30,Active,496,355947.6191270935,233486.37863076665,76779.44721879123
L000139,972064.2618937511,0,Active,317,316794.9960928726,389954.86940686003,44543.026685965124
L000140,962822.8219926901,30,Active,514,498642.17241083237,268797.4422955351,10253.01699293083
L000141,259264.4728671105,0,Active,315,795317.7381974565,278578.2106383081,11169.846584959587
L000142,502276.0208334616,0,Active,698,441133.796969636,471272.64532768435,58243.193071792244
L000143,307869.526718602,0,Active,532,369781.4305540939,478804.0822839046,52544.92394554493
L000144,291992.0894336929,0,Active,324,475081.68927923095,380607.9465191023,53539.545169461075
L000145,46518.07788098747,0,Active,700,783839.2984718946,404783.35555692954,27794.593158487725
L000146,613468.6906400978,90,Active,664,499839.9281521059,132239.14357672568,9177.138248919602
L000147,507652.23299657286,0,Active,594,98347.68207265974,296908.2875676565,79943.98167089847
L000148,60963.96373748946,0,Active,736,730150.3627762636,238962.82609316916,22176.56771121327
L000149,285859.99959424534,60,Active,370,472657.422615877,20524.043788443192,64538.90403871246
L000150,909183.2271069871,0,Active,324,126484.31378876888,441767.59839857655,36483.95113879087
L000151,247166.27176030268,0,Active,673,184393.5368660107,147856.18871421315,63402.917465474326
L000152,153445.92337031086,0,Active,844,96428.3076626109,465883.90030791174,76941.18969801508
L000153,494558.2326747874,0,Active,757,768608.2065895727,318249.5432042397,19397.958786804793
L000154,985793.9495694947,0,Active,513,56679.9251444599,406524.4017132623,1372.5052572238549
L000155,249634.71879638542,0,Active,510,611542.0754544863,229384.5984473092,27910.678448759118
L000156,675414.1919318198,0,Active,840,270126.79634011595,93707.44895943023,96127.9636952507
L000157,764003.4191754304,0,Active,338,64890.11778216032,437359.8270887883,18310.87972663529
L000158,245261.16855247566,0,Active,559,347077.7911875204,391313.90671207866,47333.887915794236
L000159,730934.185125741,0,Active,394,215.81229031486515,377271.93729684217,37339.31696181881
L000160,374105.3013920607,0,Active,689,653818.1171729618,106394.93734199418,30953.6804776945
L000161,635982.7722876436,90,Active,519,433531.7696292653,260823.6826635378,73092.14188906869
L000162,637194.4136532857,0,Active,567,361397.24133054685,161314.1320141238,72167.62554790158
L000163,540416.9372340109,30,Active,793,663382.0030184563,306388.3282555925,78013.255115318
L000164,99386.87235386422,0,Active,365,415456.2359003343,266213.7232964153,33917.37865942282
L000165,836949.4706333455,0,Active,686,476238.598740913,88691.13433348414,35920.73297594964
L000166,327572.2643220185,0,Active,492,651853.950817873,311865.01074124605,54724.68881312401
L000167,194653.3252958557,30,Active,619,576456.545651443,19088.049129036997,379.0466692496164
L000168,50367.39013921628,0,Active,846,527231.3930086988,35368.835565464884,95382.79152503588
L000169,594984.0137563593,30,Active,474,563312.8212535429,91390.13113867423,23444.86167869879
L000170,680788.7182238596,180,Delinquent,411,210375.7344016418,289402.0997291649,17236.613405521228
L000171,26421.95063857759,0,Active,607,93798.27792491468,379743.71613126615,63737.80243867931
L000172,516972.12771628815,0,Active,639,498133.7491585873,391235.4472088744,84810.39661664797
L000173,234230.8174459586,0,Active,379,179213.22606041105,138319.12812014995,64194.81088248876
L000174,648721.0625053553,0,Active,777,38096.19121234338,192103.01611886555,62920.47468772598
L000175,182622.76471494153,0,Active,410,203457.65217363337,116875.22949585071,48838.82168241219
L000176,694028.3607214413,60,Active,786,576215.6697159258,18160.732229448695,89068.79079809136
L000177,392867.992837532,0,Active,752,566737.2489501344,247528.51816972872,96721.8655469125
L000178,937362.6888493672,0,Active,712,722607.7133216538,272532.1110384937,59526.42653080683
L000179,146145.73470453333,0,Active,485,540182.0272049999,467541.8865891845,7887.837766541639
L000180,347655.68753975595,90,Active,386,351781.40171402175,355938.75878769084,10088.412754464693
L000181,122338.78602818318,0,Active,523,208399.48645727997,467151.5479759754,41923.084518763375
L000182,925446.6820957771,90,Active,350,606720.2658795831,139751.69295138068,49223.29564435658
L000183,878565.9598471712,120,Delinquent,425,329576.7353981889,362304.6670782435,64057.32237129466
L000184,265362.21143800404,0,Active,445,652390.8699382874,299145.67764815135,99335.45927151918
L000185,663384.2055738373,0,Active,340,681300.229050758,148398.72178260412,70781.86179863644
L000186,819049.9781992036,0,Active,654,281254.0640501503,105574.84646902376,87332.25930483795
L000187,559648.8034834677,0,Active,744,275059.52086689824,145519.88387073966,94276.51901206348
L000188,534354.0725724464,30,Active,662,730906.6738747478,489842.5216551043,19567.18777922297
L000189,249433.76799144715,0,Active,835,317807.70125172293,11605.787792973555,33365.84153553312
L000190,102171.74012784022,0,Active,583,565444.2395218485,452416.7956753829,68797.76276294672
L000191,898243.6003737935,0,Active,335,302253.6396795857,385842.859606512,65294.52466010197
L000192,901413.8765916971,0,Active,576,585024.892707831,271795.3651454845,42322.83729837943
L000193,636770.4427005353,0,Active,624,138879.76432503128,429121.9138824093,85408.2842167085
L000194,345639.4931382137,0,Active,481,668708.3886803308,25983.331439168865,98094.36194424918
L000195,355717.4788665343,30,Active,770,786527.6193668648,272113.62914421555,39839.81081712194
L000196,728696.122081537,0,Active,716,612618.0411883694,142711.65151447852,34741.52060012554
L000197,898139.1573530514,0,Active,449,287299.70124192396,4902.307954337603,28818.392487065103
L000198,888215.5600224661,30,Active,703,444163.0968434309,309523.55052487185,56126.28544108582
L000199,782076.7903990477,120,Delinquent,813,535680.1979127392,328880.31605571863,61223.304564757455
L000200,645611.3296927449,0,Active,740,154297.9598802254,295388.01170387055,18203.374989425338
L000201,93298.56534509834,0,Active,545,226321.7322415459,195247.09304996813,28201.259930302625
L000202,170012.42695366763,0,Active,345,641416.6208555647,402135.8723738929,12070.081179876457
L000203,899568.6466418084,0,Active,374,756228.1136094597,171579.3686229527,90439.6537601909
L000204,610364.769062994,60,Active,448,217826.56741045433,301979.1282297536,64846.57041919098
L000205,19105.08110046335,0,Active,705,118066.54661233535,498028.95985379774,55602.3472903081
L000206,110456.82743737179,30,Active,302,785297.441210012,422924.2175181432,92379.41590484347
L000207,666866.7514169753,0,Active,308,255974.86971705957,322137.5331483627,98270.53130370702
L000208,15010.968007756499,0,Active,813,622779.9993420484,337084.7787546155,2485.7417179002473
L000209,169199.97090332367,0,Active,537,303208.94077724044,420500.59584687784,79018.09301936129
L000210,553246.4514729202,0,Active,839,759262.4852678163,87904.73522399111,53882.84088563046
L000211,694976.2457157663,0,Active,589,479629.05988669384,55104.254879775435,246.09598324534244
L000212,655441.6469075745,0,Active,480,332091.3484271875,110447.40083289494,42963.23506263636
L000213,232026.6163659542,0,Active,614,142666.4835309115,372269.9174995112,77385.88750687454
L000214,715057.4291340605,30,Active,565,204464.8107018908,384866.272663682,74280.55548710852
L000215,244876.59662183208,0,Active,382,685575.5075523582,14098.895833618786,92740.40434691354
L000216,332145.70117767504,30,Active,557,45557.102199393106,29988.85845101068,62144.05717188634
L000217,749026.4910668439,0,Active,498,125474.33578205922,490782.5464636186,22624.967873376456
L000218,653136.5700567425,30,Active,591,154103.2680726433,246051.4445248858,72618.28454344514
L000219,850731.1763892361,180,Delinquent,382,56543.756089648676,267951.7164924416,98123.62941716291
L000220,661036.7633773399,0,Active,565,548511.9189238225,306091.1101112947,88530.14551499322
L000221,572625.5173021168,60,Active,716,785017.501372686,482221.66114235244,211.79979530725478
L000222,102738.02014981155,0,Active,318,111359.81995970328,79750.00076149235,43171.75859208402
L000223,374038.6450288392,30,Active,829,639146.0862824247,316540.9498526508,20803.2161935796
L000224,272550.34400490817,0,Active,670,141204.31732560697,37903.43744629021,49348.53972604089
L000225,251549.74694529275,0,Active,322,779024.4707879418,256722.40633322706,39179.87311614146
L000226,973280.4492049211,0,Active,684,405640.92987834977,220133.05979190933,56211.05754840348
L000227,399166.7474200928,0,Active,821,678012.8778560912,134094.07001809802,82592.4120793564
L000228,893126.0896253422,0,Active,678,136444.75526699953,220276.35830564168,64273.67863395466
L000229,634827.2397372903,180,Delinquent,389,708205.3230367865,349128.96055164945,35790.836188635934
L000230,796863.190506232,30,Active,443,65311.35750149577,420491.0921623458,33808.43594647857
L000231,507610.7221741402,0,Active,503,18313.77335700326,392452.3730902245,20998.08101876095
L000232,581134.8457800956,30,Active,819,567168.3966680723,292431.654376563,51548.07076758441
L000233,497592.5168806753,30,Active,691,85216.88353520416,448489.4031999401,81095.47588269353
L000234,203290.55792006405,0,Active,600,692641.5639827,346925.2564483394,100.93732373508414
L000235,725227.5941088903,0,Active,804,497019.3615433761,419132.6865993249,70855.0157209076
L000236,287964.63881644723,0,Active,452,264785.31450131023,199116.5100688634,50705.287487961505
L000237,34072.8067671393,60,Active,828,221819.83866437714,349186.6395403247,86004.12438506816
L000238,649017.5729480961,30,Active,638,65542.42872946734,37252.798409476265,51090.45900238979
L000239,185339.57261297846,0,Active,811,549373.5372046116,478568.9755091027,87880.27226852432
L000240,941053.9985093852,0,Active,634,733622.0823708628,314654.53654377157,73933.43472388545
L000241,954389.2912325615,30,Active,808,605417.5623542645,428353.8013344043,48556.249146614784
L000242,915715.746318244,90,Active,355,495515.5585225196,242699.03310134605,29847.631661800257
L000243,376457.11325288995,30,Active,429,94966.59007068296,15421.77896400876,97441.06126483613
L000244,25302.050363578754,0,Active,397,662103.4542656644,246020.4267115335,20904.845607501353
L000245,929035.3769618481,0,Active,721,772307.1313033076,362894.0961151691,77856.1291269868
L000246,433902.3068341412,0,Active,379,210253.85444934352,32663.573027410297,68421.93346597833
L000247,966988.2708532328,0,Active,587,336290.6432529677,50150.77331673218,41058.22510863244
L000248,963983.7773183603,30,Active,468,11240.875033605047,27151.400520823987,71836.03304722051
L000249,854479.3609126864,0,Active,378,665523.7577886938,59940.288080177816,12966.252115195932
L000250,301504.40314888983,30,Active,370,16596.485627017275,307170.6676772269,24105.10216707663
L000251,391246.751315906,0,Active,562,389206.6567001198,437196.3412869954,71917.70422703521
L000252,852625.3048016883,30,Active,829,461175.5751144158,235461.83105459152,12791.69175504935
L000253,323752.7851047149,0,Active,509,44433.536946332366,404392.10321297427,90611.7526430719
L000254,177797.81921923158,0,Active,416,140534.3180640318,199290.55802321265,59756.927430225645
L000255,561233.2498337666,0,Active,376,632667.1799195409,427635.2538858053,7109.586989685446
L000256,936793.2264191732,0,Active,614,202026.95027916314,78780.10289252207,76872.13357399873
L000257,699069.4987082232,90,Active,310,579777.7318973606,286968.3493762491,43754.06318030679
L000258,574360.5583884714,0,Active,350,599349.7906201786,260082.74909155228,29632.472686136214
L000259,106204.72883306084,0,Active,306,325854.6990683366,51419.20118665117,53135.24507231171
L000260,618857.154432178,30,Active,848,51000.871455887434,119120.7987279546,75112.56891944508
L000261,990153.3116032206,60,Active,560,8645.315478227643,242309.81325258123,91092.86730345308
L000262,148683.17508415878,0,Active,811,394010.9055362224,385922.9890541457,32041.53483251816
L000263,523146.3558400994,90,Active,499,57163.45490483334,452384.7213635235,69435.95641959322
L000264,878599.3412086759,0,Active,629,581177.9971533585,367826.0774217469,34123.409709240004
L000265,743360.9315766623,0,Active,389,304659.15272436064,146507.16491152038,1337.6303775189836
L000266,700045.5835853153,0,Active,354,546631.8787857314,51390.92754485247,96273.52040701294
L000267,705459.2431472382,0,Active,520,326529.3611349271,262609.24490661616,29805.46829320607
L000268,365896.2397075576,0,Active,391,502668.8135064788,172183.81408887156,46446.896049570096
L000269,300655.92582184845,0,Active,355,666414.2956433415,281659.87286590727,64912.80478604503
L000270,811267.5439237285,0,Active,478,707562.3820431713,198971.99048505648,67976.79628969054
L000271,812012.2607323889,30,Active,360,13506.272940175812,189597.3524205118,82264.53254629186
L000272,868401.5953943026,0,Active,416,516404.5700082367,455990.76966599305,38190.50077373658
L000273,914108.1470309066,180,Delinquent,535,451307.699460856,333767.6096349446,70758.01841580588
L000274,516228.9748723284,30,Active,332,509630.5609833138,334853.07687510626,61523.785836705734
L000275,506501.13174032763,0,Active,542,46475.95022801809,66860.30922026625,98523.72214464017
L000276,800312.2271771074,0,Active,373,55916.99195966617,194832.14038075696,73963.31251992771
L000277,653464.2914699875,0,Active,320,397584.0809514995,381383.79990272486,94474.42141289014
L000278,704947.2084851263,30,Active,453,45691.929396491556,283474.1351171257,28349.061912404082
L000279,797834.7427417401,0,Active,553,621128.6280885609,230181.67952694374,45605.28654388686
L000280,891105.2883993906,0,Active,506,617981.4197009639,486379.8526381477,52928.75514003149
L000281,344615.20528302045,90,Active,448,93859.24059017858,68184.4178965687,84819.9377889587
L000282,381827.1231135446,0,Active,601,364046.3156818963,80380.78236032659,42470.08004802333
L000283,103042.1204424603,0,Active,596,475984.7553074589,281623.5099120488,55709.1271382874
L000284,582497.3395862122,0,Active,790,687556.5881864415,202588.77553396497,13724.964736337319
L000285,45582.851058774664,60,Active,343,790743.970534261,240341.84480863495,19246.703431917333
L000286,470942.03795113554,60,Active,443,13777.087489816431,273937.2034686626,39081.63693898549
L000287,547218.1883605008,0,Active,543,381071.2749467014,63735.08768016506,5049.801305210222
L000288,293675.8396070016,0,Active,718,642627.8288552453,135060.63705651023,7636.306959036132
L000289,594924.9279633206,30,Active,816,636692.08444356,268577.8812719648,70424.47750331102
L000290,40195.24743965894,30,Active,361,433467.03644949,96777.08264813057,7096.430100151229
L000291,46974.706861722276,30,Active,837,145806.09361789713,419794.8165545451,186.49448040646277
L000292,824374.5550530617,0,Active,616,447277.0632418347,391743.93247898365,6260.9959109961255
L000293,366588.73499715026,90,Active,734,313243.40082541085,284085.10463013273,63878.49766382256
L000294,135789.90752536594,0,Active,680,327293.24235748075,247463.46643833388,56211.166742932364
L000295,527020.8274542564,0,Active,335,262934.7359187654,464779.16149804706,81479.21005637068
L000296,772293.6175676248,30,Active,841,115589.55890338511,376168.5940549725,20560.937272345003
L000297,223662.81722187475,0,Active,531,590591.2283030176,19064.437807815026,58928.659124645266
L000298,626661.5710608102,60,Active,332,566790.4631454465,111691.42307847051,80692.75888273805
L000299,94493.99034383032,0,Active,651,434265.73043360695,36491.025597143125,71866.55612063262
L000300,61164.90395692162,30,Active,554,283836.5242633703,497342.352145585,31807.825959329806
L000301,536041.0852524665,0,Active,349,658147.9716740039,211095.4525138446,61786.75208804837
L000302,545228.7703940055,0,Active,322,127920.38252261504,67098.23644545198,73176.64649450294
L000303,641055.6024832245,0,Active,553,347656.06622955814,179085.04210884386,81906.19364533237
L000304,728830.4203854349,0,Active,693,522809.3348147709,489974.51311342,98857.38323637872
L000305,976093.5586679092,30,Active,572,657198.5287323847,71500.84624384923,39955.318968619606
L000306,521137.34481818334,0,Active,549,519688.2409769895,178471.79325029044,3030.1868568365476
L000307,329726.9082118335,0,Active,536,94163.38984998864,137900.3861841263,52345.36141489994
L000308,797234.3328210167,0,Active,531,81034.25088061708,395108.4358842436,32162.85424718044
L000309,278123.92874945345,30,Active,727,40345.87335969215,12753.153472286782,30202.531804541853
L000310,444581.70649857976,0,Active,541,447981.39269399754,473357.34217660443,68335.99609411383
L000311,87671.8175288433,0,Active,433,194351.5414566443,434348.3629041702,4341.31589376201
L000312,35097.23598130293,0,Active,370,127624.22570483372,182183.9418818113,54152.77784580931
L000313,963021.9305311458,90,Active,764,67978.14562926519,450626.2556592184,63483.448357596964
L000314,837620.3193070837,0,Active,720,513429.86459753226,212866.91035265432,72624.97119277295
L000315,699014.464032761,0,Active,609,602731.1860465137,145961.18561398698,96258.43093717613
L000316,414863.41497012717,30,Active,578,686212.1519098748,203502.62371770357,881.7928117673679
L000317,181561.37687013732,0,Active,518,476330.2661676711,412499.2251227591,52353.64774038623
L000318,164872.6722443752,0,Active,606,283388.8593066054,280565.15215913387,87396.55441857426
L000319,257740.46918294937,180,Delinquent,613,376331.30664358765,108609.66452963217,20390.63293584583
L000320,553734.3980590593,0,Active,702,508920.44564608485,34843.21948172103,97610.56855869085
L000321,717449.9634730617,0,Active,787,570402.002090428,303278.5112889467,19023.265974896407
L000322,663595.4029505539,0,Active,704,515872.96780767664,409206.9093353074,63708.80255667626
