Asset_ID,Asset_Type,Asset_Value,Outflow_Amount,Funding_ID,Funding_Amount,Maturity_Date,ASF_Weight,RSF_Weight
A000070,Government Bond,4253654.765363403,833860.531206204,F000070,4695489.361777228,2028-10-11,70.16357438179394,17.083033792939645
A000071,Cash,2621473.822786219,1595512.297998978,F000071,1373260.5972350372,2021-10-20,78.63571607635504,87.49254058704393
A000072,Corporate Bond,2679919.6355106304,447806.4584574038,F000072,1663415.294544801,2027-11-14,56.90954102369625,29.86755077696861
A000073,Cash,2757144.4680806524,285582.95304076246,F000073,1636916.505177308,2030-02-12,63.55412322320344,26.40841074064611
A000074,Corporate Bond,4135832.6683252323,722545.2359038977,F000074,4643905.598878311,2026-06-08,99.67984942034116,57.68744755646147
A000075,Cash,618685.5203746834,197103.3594658074,F000075,3456904.0011442997,2029-10-04,86.94544683694448,52.10782895295912
A000076,Corporate Bond,1948211.9304417328,614538.6383000469,F000076,375558.72547661373,2025-02-22,76.01315040171113,57.081721676336436
A000077,Government Bond,1160978.901134086,1395144.039678295,F000077,2276255.679045495,2026-12-12,95.69138472359622,86.87115626290472
A000078,Cash,3888471.4607559126,1198546.904673453,F000078,2189920.6655650246,2027-09-08,84.01721614252673,39.54371743595675
A000079,Cash,3040124.6628579153,332327.1049427199,F000079,2592534.138532968,2027-09-22,68.81197251512927,37.23553693988852
A000080,Government Bond,2439770.3478721743,906246.2660658752,F000080,1449513.8306193186,2020-10-09,53.32890641480496,79.18931148302154
A000081,Government Bond,2237197.2103835125,507583.6428951211,F000081,4983521.611910872,2020-12-27,99.46110715067886,34.107229025589376
A000082,Government Bond,4183272.614852514,833441.9039090427,F000082,1731563.0562399747,2027-01-23,69.86714494970504,22.86530266446151
A000083,Cash,962440.1948481197,573510.2932948653,F000083,1519454.8576637667,2025-05-20,54.16700354193254,79.41913239053949
A000084,Government Bond,2024429.9933003492,108403.84682288094,F000084,2458564.642939869,2027-08-15,69.8617284679608,65.61638712399304
A000085,Government Bond,2960062.0824928866,1423019.9612114578,F000085,3439964.662162876,2025-02-16,70.00084617114868,97.17823061354774
A000086,Corporate Bond,902819.2827235758,1197472.5444923004,F000086,1202985.2215085654,2026-10-08,72.70581972906368,97.27458192223276
A000087,Corporate Bond,2182454.7707128543,1355514.7570227822,F000087,3395998.8737833374,2025-02-23,85.65963083676668,24.975127741930287
A000088,Corporate Bond,3381477.3279922125,1437047.4049700506,F000088,1376610.396155362,2025-07-21,50.26827843640884,18.073434013843816
A000089,Cash,2206063.7010813183,1410889.3556266616,F000089,3306474.9442464374,2025-08-20,76.98096089680655,41.68695687009452
A000090,Cash,531699.4734623691,1877424.066450952,F000090,1871508.5714678024,2029-07-28,61.61179536676654,63.08687843321085
A000091,Cash,2982951.0366959777,1676241.329554566,F000091,2957345.7482670704,2021-11-24,91.63784316915378,80.50125245518767
A000092,Government Bond,799673.7659492757,1130646.3793006893,F000092,1581987.1382203335,2030-05-19,67.42243566918188,68.38483913152152
A000093,Government Bond,1555119.4431293034,249583.56489276746,F000093,1069715.6323452964,2021-02-28,65.57462401600907,21.81300169566482
A000094,Government Bond,280794.22849862324,8852.197684346747,F000094,1839912.1304646006,2021-05-05,58.6555638139405,77.70733588828816
A000095,Government Bond,2499596.6975142676,163687.7476371047,F000095,3721813.8209280814,2021-09-02,97.66865307022601,44.834577538757664
A000096,Government Bond,2135443.0201779814,1729048.6669118376,F000096,3886264.937840637,2030-04-15,84.67380142814929,16.66812962852716
A000097,Cash,3854103.0397475655,1787482.6539237616,F000097,3325201.232276755,2020-10-14,83.60739471838352,71.05987926061118
A000098,Government Bond,4032170.5009329547,1250672.8374736197,F000098,2552404.4745748243,2029-07-12,59.93176924778666,28.205840647821596
A000099,Cash,4444228.523922908,1690781.6724809308,F000099,4451060.913065986,2028-03-08,95.48982771285819,39.99941486831882
A000100,Cash,652710.218949224,1831722.125539668,F000100,1869075.1837074365,2029-09-03,71.62341363902725,94.39473895436964
A000101,Cash,1482444.3311821318,209192.39953531235,F000101,563768.0266400714,2023-10-15,55.32559001314005,23.058512971433956
A000102,Government Bond,3159343.7156796046,359128.37589749775,F000102,998522.3256233755,2023-06-05,73.24654141954146,22.678412114691156
A000103,Cash,4728160.056887047,1039466.8027938167,F000103,4487640.90946939,2027-06-06,87.43376894622855,50.058702167145704
A000104,Cash,2356575.0617388235,229089.30554867018,F000104,4514505.915293099,2028-08-25,65.325544602205,34.36103198537076
A000105,Corporate Bond,2530376.686317512,619005.9194050555,F000105,1450876.34862717,2027-11-03,71.07722653572901,70.76986715113958
A000106,Government Bond,2067894.3911754068,518788.93756978854,F000106,3396092.7873308146,2022-04-21,70.61214641857367,57.58408029236243
A000107,Cash,1474515.7243243062,1464431.4471450364,F000107,2955467.004073499,2024-12-25,65.10443773672311,96.45971869789328
A000108,Cash,1397807.2107718221,470388.42604625627,F000108,1041388.897611678,2025-01-31,83.40947259829886,68.0246362563461
A000109,Cash,1498712.6439937253,134051.5717568092,F000109,40202.991443594976,2024-09-25,54.38833327256668,76.54063100715423
A000110,Cash,2009719.8259568461,1801218.7472660083,F000110,3693753.6993680294,2025-12-13,57.863146997256315,26.47397242214384
A000111,Corporate Bond,2353850.8471028595,251390.96803265827,F000111,3863079.8727428885,2021-08-25,80.10056774593261,40.06462471867159
A000112,Corporate Bond,333517.8994732698,1210289.9498115387,F000112,797880.0930113597,2024-01-08,62.92477331527719,18.65107431622905
A000113,Corporate Bond,3771415.038054774,1700063.3276609285,F000113,992453.5867890789,2022-01-30,58.9174341198664,22.24726280587069
A000114,Cash,513279.0745779323,1484936.8108461234,F000114,111467.98703178688,2029-06-05,83.02505375253057,10.668326900315847
A000115,Government Bond,3004570.239655122,842453.7147365739,F000115,1379607.5603041528,2023-06-23,90.20419984902777,13.64956156279413
A000116,Government Bond,3186407.045796984,1341192.2455484392,F000116,4790931.219037193,2027-11-10,72.64516061021831,47.39960391488034
A000117,Cash,231492.22960110946,1436184.8415106125,F000117,2898470.526576088,2029-03-11,70.54975803879105,38.134837144402816
A000118,Government Bond,1757895.4061248049,1091194.748972012,F000118,966431.977505334,2027-02-15,75.74145929498093,22.923870590176776
A000119,Cash,3746401.678762294,1896910.9866808632,F000119,4342004.1624487145,2024-11-05,98.13086903517072,57.51137492653555
A000120,Cash,1532643.9017594443,1873243.87527651,F000120,3082914.6902064164,2023-04-11,74.24679610971846,65.96404074020367
A000121,Corporate Bond,4468960.897582558,1454424.4502109739,F000121,2861145.9661806445,2027-06-01,90.52664092583237,76.17334201064703
A000122,Cash,4759474.5746521605,1669727.952469295,F000122,3478715.512401902,2030-02-23,82.06201157123573,77.22360504394165
A000123,Government Bond,4533616.909474786,1667191.4486487329,F000123,63779.79675028918,2025-10-18,71.29433668963334,49.3483632366484
A000124,Cash,3005117.9431176693,1565434.9342381132,F000124,3075062.819317152,2026-09-07,99.55455344464545,40.54569247046208
A000125,Government Bond,786880.128625425,1595387.530025863,F000125,1393383.1098499137,2021-07-18,86.1641364088746,72.84687333484214
A000126,Government Bond,2469085.752343361,669541.9380970707,F000126,2010161.8048067596,2023-07-02,99.38840202627284,90.39044509619973
A000127,Government Bond,4956793.114241002,826457.7971025466,F000127,1938028.102487605,2020-07-10,51.347458649922125,74.36191069074385
A000128,Government Bond,355547.3243632488,890606.9766314243,F000128,3069691.326802745,2030-01-17,59.06533455163651,97.32212481482073
A000129,Cash,1853013.8852163127,1135478.4922863685,F000129,2482462.265450992,2028-10-27,90.72237353828726,36.939824682449505
A000130,Government Bond,1284064.17415308,1611193.744395946,F000130,2105161.637308562,2026-08-19,77.95140531667337,70.28371859502006
A000131,Cash,4670117.676074823,1398972.4864920788,F000131,2439276.1294324333,2029-03-24,53.03649459439742,79.19866961939927
A000132,Cash,2252481.879342095,245121.68941252038,F000132,2532969.8535457114,2029-11-05,62.25613104111251,35.75180555742253
A000133,Cash,47553.59463773413,363435.71844792785,F000133,3014613.389657786,2025-12-04,98.12184365909917,16.65844906003275
A000134,Cash,2795178.9462140882,218517.510145372,F000134,4696084.380064987,2025-12-19,86.90770872867574,83.10462326872042
A000135,Cash,1704680.857592816,256247.94689529893,F000135,2264130.657530867,2028-07-08,81.60933476922344,65.36575964264634
A000136,Cash,3642490.1650563315,1915115.1486233056,F000136,3002046.0724814394,2027-06-21,57.11562852256296,67.38808164302174
A000137,Government Bond,706148.6426027715,103926.73190444283,F000137,1916345.2930230505,2028-08-15,86.57830801390888,49.21081571714481
A000138,Government Bond,3703524.3245882215,1019635.2021616084,F000138,1728701.5856254303,2026-03-01,57.568840026844185,61.18747121649394
A000139,Cash,1880592.731359204,41647.94269985666,F000139,305144.239326466,2024-05-12,99.67323133113649,46.73627023965848
A000140,Government Bond,4965238.848767835,805873.3309852667,F000140,4457652.670997816,2021-10-07,64.2184085568096,13.41169150039519
A000141,Government Bond,2408612.5354873957,1290655.9161532172,F000141,4171098.233443658,2027-07-25,76.57794974310724,96.21507126759077
A000142,Cash,1727436.0214873007,1624643.008386275,F000142,207213.8500786675,2020-12-04,55.674774713854916,44.732478413852554
A000143,Corporate Bond,1700167.507968171,1312344.5110103015,F000143,3776291.0390492706,2029-09-28,79.16172139147449,46.3077859153119
A000144,Government Bond,281317.5185357434,1780808.914708743,F000144,4726527.1644303305,2025-04-12,64.52243024167105,14.990622599408725
A000145,Government Bond,4968364.299384711,512855.6456190581,F000145,1290315.4272543113,2030-02-19,51.92972665825784,60.44954728216556
A000146,Cash,3561494.60600945,998873.4868924819,F000146,315903.9925670183,2028-05-16,78.20567927420223,55.404538986298185
A000147,Government Bond,4161924.8854075554,891318.282451261,F000147,4981491.105532166,2029-02-16,79.78719789126264,73.86230601839321
A000148,Government Bond,2711119.6840168624,697973.1298835552,F000148,1214851.2857193646,2029-07-28,89.97715873903222,29.5251563312383
A000149,Government Bond,4685686.419832168,90517.40962854489,F000149,3140967.0167240025,2026-05-24,91.16558698957948,34.92028315765435
A000150,Corporate Bond,2420180.875615515,366726.1755978944,F000150,1065617.518350477,2029-03-26,61.40940248956305,25.114687352366797
A000151,Cash,1435753.501970948,363292.6729608886,F000151,2161680.033947615,2028-08-24,79.70856735865182,55.768090401274755
A000152,Corporate Bond,3805427.604283518,570655.5917224456,F000152,4919388.218099302,2027-08-20,52.461647139921396,30.249490057955377
A000153,Government Bond,3563922.3902815855,916096.8857398685,F000153,848436.3170656333,2024-07-30,88.64483470221774,66.62312468573819
A000154,Cash,4076756.626225504,535042.2459244619,F000154,2692225.612157482,2023-11-01,76.4267838349908,41.780500243876126
A000155,Cash,4553119.193741751,1115041.7183145373,F000155,1284317.888911681,2021-01-12,90.42279853658253,27.946861747280536
A000156,Cash,983048.7477202554,573922.4728719952,F000156,3977193.9955220167,2025-03-12,66.68569729240974,39.19284895015873
A000157,Government Bond,1660214.0793435976,1216111.8804863747,F000157,3416003.63732403,2030-06-06,89.39308820762498,47.02286158109846
A000158,Cash,1909421.8416698158,479514.777290956,F000158,1626327.5063786646,2025-03-31,65.00991008569807,82.97955433882578
A000159,Cash,1245957.5221043124,1338511.2867010701,F000159,2636459.668675917,2027-08-31,98.73029821716655,54.61360718378746
A000160,Corporate Bond,4520947.170238507,1599652.5746030498,F000160,3397006.2569427905,2025-02-10,84.28292744866661,44.59546128681003
A000161,Cash,2400949.224160029,1001238.3413089322,F000161,2324674.791770508,2024-02-17,83.05239663105452,73.82124539833109
A000162,Government Bond,4450425.067009883,1444449.3929296364,F000162,433220.3815555923,2025-12-12,73.916148023155,70.96138836921992
A000163,Government Bond,2520034.9709579,1437751.9710417206,F000163,1719658.2630122078,2022-08-02,68.5678191379532,64.16791324117622
A000164,Corporate Bond,2377221.433990862,934092.6587187847,F000164,950207.3897691066,2026-10-30,99.16078780258968,63.79036387260525
A000165,Government Bond,1683289.721956844,770381.2812649002,F000165,1794843.3245083909,2022-11-10,71.97224914754848,65.04469785895738
A000166,Corporate Bond,2435942.1998710628,581251.6618378584,F000166,1654030.6115146992,2023-12-09,53.67409535759738,62.1289298427902
A000167,Government Bond,1407008.3286196135,514584.0364325949,F000167,4760085.803742247,2026-09-27,62.913924093864004,13.206087794323132
A000168,Government Bond,2847338.2624211553,302880.1247937263,F000168,2975751.4059786834,2024-06-30,80.53957654307786,35.583968186517026
A000169,Corporate Bond,799801.9387552742,440936.7805225767,F000169,3367114.7781590982,2026-04-27,76.81804443483013,57.96818075006062
A000170,Government Bond,4070891.5130637493,1494845.7719759992,F000170,1967620.6562007754,2029-12-05,99.87677995358531,89.35609270683086
A000171,Government Bond,898896.0117547772,165983.1896050829,F000171,1801460.7909522308,2028-12-04,69.22191850997143,12.145044325476023
A000172,Cash,2479406.8284182344,1375655.551854144,F000172,3891701.6595201055,2021-08-27,81.92509237401894,88.26687951956266
A000173,Cash,1216226.796464665,548115.9582402391,F000173,3069977.3134248513,2021-07-07,58.90441110742314,57.5941046017964
A000174,Cash,4384865.527745441,1699583.6470485665,F000174,4221770.9558778815,2021-04-07,62.71776793685393,72.71849303690846
A000175,Government Bond,1270698.929905378,1469891.6814079457,F000175,3444130.742411114,2023-06-06,51.139831457714216,64.77191254251079
A000176,Corporate Bond,4337104.618533359,402216.235505145,F000176,3304730.586357995,2025-02-13,56.606826913526234,55.731095787020976
A000177,Cash,295585.79721901385,1470530.7902628127,F000177,2494275.6541893724,2029-09-27,67.61528210021109,15.716387102285093
A000178,Cash,574663.827481372,1108567.4872572678,F000178,3414740.947786558,2029-06-05,53.049412479409966,36.56585634758817
A000179,Government Bond,213969.9404696221,1389740.7546939077,F000179,2885781.7810874023,2028-04-02,97.8955049972001,70.02939118222218
A000180,Cash,796304.1492397479,157748.0798916269,F000180,2251940.134545104,2023-12-26,56.94074034473039,60.87677371761102
A000181,Government Bond,2670448.9898113506,1054534.3907229889,F000181,2470341.726653087,2020-11-13,56.22779623888107,56.76504252581223
A000182,Corporate Bond,2957129.92658538,501462.2726204012,F000182,4015887.932162117,2023-05-30,91.53216593541407,27.565468799972916
A000183,Government Bond,618301.2564501774,1826548.2385138145,F000183,4379799.397984719,2025-01-11,88.09470774965843,54.3595328744408
A000184,Government Bond,935269.4307367839,957266.4677348773,F000184,3057403.866811472,2021-05-22,77.09731804458971,10.814025286129707
A000185,Government Bond,3077595.5279209693,1904516.3240747524,F000185,4670535.41231334,2023-12-08,93.2653912541264,10.21690940516556
A000186,Government Bond,964753.6008791339,1424226.9682958475,F000186,2068255.0790415849,2022-02-27,83.31889230867048,26.84250068394085
A000187,Government Bond,3799310.813861816,31444.959396598435,F000187,4815176.931128077,2021-06-05,77.65428462336321,71.18744944835704
A000188,Cash,4584376.580923622,190300.420586811,F000188,4756714.548036681,2024-07-29,52.108113679011126,83.76207921432538
A000189,Corporate Bond,2658159.8829669976,1915986.167523372,F000189,3831253.9792405674,2027-06-25,65.12339882317542,93.76122975261157
A000190,Corporate Bond,4248595.558881306,680653.9249222669,F000190,1411867.7642163383,2028-04-06,66.44338545425643,20.838045314971154
A000191,Cash,430350.33904417994,785091.3061490371,F000191,3043572.512608407,2023-09-13,73.92858357482339,26.862202819620013
A000192,Corporate Bond,4528824.092703034,367880.0547258027,F000192,4377563.593989121,2023-08-01,79.11900715505165,71.82650995007627
A000193,Cash,318493.0081191611,33881.04513218958,F000193,4354611.4918782385,2025-04-26,87.54727709909284,87.00058736470183
A000194,Cash,67656.14931002886,197935.4104268541,F000194,151542.36669207818,2030-06-08,92.57072765205746,45.04351359850374
A000195,Government Bond,4522579.20723893,17073.709090015254,F000195,1134864.7066532478,2028-02-24,53.42802620094125,47.846885198039075
A000196,Corporate Bond,851513.5602512353,1871889.202262614,F000196,2975673.319442985,2023-06-18,70.48800293483508,85.39514455223525
A000197,Cash,4007266.452343985,1419740.9237779574,F000197,2525617.352724147,2025-07-03,68.38798176063612,37.898282097981955
A000198,Government Bond,2328195.2733628773,519285.6612079967,F000198,689664.7634063712,2026-01-22,55.752808189320945,93.77357893405811
A000199,Corporate Bond,1937037.4791356102,497962.3227401705,F000199,4137417.5246302653,2021-02-07,64.8357559291837,85.3547577008954
A000200,Government Bond,4815702.511220675,817818.8687518245,F000200,3166774.9868879016,2024-08-10,81.12205060178901,68.72695911833887
A000201,Cash,3736235.8545571184,618217.8836964008,F000201,2945589.4458660586,2021-01-23,51.94075767851548,58.40626297953899
A000202,Government Bond,4040899.847882792,1654449.438109007,F000202,2649990.569618211,2024-10-18,58.00473722456055,46.06765529484529
A000203,Government Bond,1390911.0335092328,141583.84070714077,F000203,4640300.862142407,2026-05-12,62.424893051432775,25.02009010310259
A000204,Government Bond,379313.3795770617,339309.05258269486,F000204,4036874.693445005,2021-01-19,56.59213867146875,69.0018844843372
A000205,Government Bond,1485550.7224996705,1161296.112317006,F000205,4997282.565892461,2027-01-23,67.088786962284,73.25547329421809
A000206,Cash,4339055.769488989,646718.2852650047,F000206,1807766.548474962,2026-07-04,60.650977952765174,70.2365220071764
A000207,Cash,4142561.624255998,282824.6796200733,F000207,4037506.6947623393,2022-08-24,83.68960858428491,45.85697395702483
A000208,Government Bond,4109896.5037890966,1575281.0919954327,F000208,2596611.238030116,2023-09-01,74.99228965574302,94.89595053484672
A000209,Government Bond,2377425.493118608,445935.27237728715,F000209,3078353.792826655,2028-11-28,86.94156112401824,15.772923654174479
A000210,Corporate Bond,1407142.9081268576,1905270.796986676,F000210,3405228.0553013375,2028-01-27,55.613464568934845,95.21270902777603
A000211,Cash,765884.5137731325,599252.9863581093,F000211,2468425.898745496,2020-10-09,63.49054671611117,52.30400500955792
A000212,Government Bond,532939.8369737337,304339.35339891125,F000212,482853.0467917212,2022-09-15,91.17385843002651,91.70148969970957
A000213,Cash,2040517.5957698855,1163375.7781663428,F000213,1614453.5425472863,2027-07-30,84.88055069485418,93.488198278076
A000214,Cash,3425806.9748316277,1700264.2810425386,F000214,1447128.1533376034,2029-10-23,57.69108139785033,20.04299726067115
A000215,Government Bond,4593987.89396044,1477868.911814088,F000215,3282278.597915456,2029-05-12,93.95688274441835,72.6554900542823
A000216,Cash,1849060.911083607,179960.1645914368,F000216,1017221.1555547183,2027-12-24,62.03162122229454,34.96872049937743
A000217,Cash,4340877.377052372,715312.8947123633,F000217,4489752.5079353275,2021-01-01,54.754883128939106,69.83103020397337
A000218,Government Bond,4224914.206261049,1501644.6583242707,F000218,811940.7177106938,2025-08-03,86.452037603099,26.152269497190225
A000219,Cash,3649499.056103326,244083.2576578337,F000219,724283.116591634,2025-10-10,57.90210446632385,47.136128763158396
A000220,Government Bond,3031990.5987950354,836339.4866506066,F000220,432036.76733281964,2023-11-01,62.45461094110222,18.04248922025979
A000221,Corporate Bond,266976.7847965332,1105412.4661005829,F000221,897147.7452817423,2022-04-21,67.71013629817645,12.604574371458519
A000222,Cash,2418619.176556506,528739.875026501,F000222,1546432.5792660718,2022-12-08,72.35457301599429,61.00120009579234
A000223,Government Bond,4062225.3644392407,1923496.107168957,F000223,2504492.9066532613,2029-08-13,82.02998985540256,73.10168445720923
